"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"04.04.2024","38,97","38,49","39,47","37,46","118,93M","1,43%"
"03.04.2024","38,42","38,69","38,81","38,22","31,38M","-0,52%"
"02.04.2024","38,62","37,80","38,65","37,77","45,76M","2,58%"
"01.04.2024","37,65","37,53","37,68","37,21","23,52M","0,78%"
"28.03.2024","37,36","36,47","37,51","36,47","31,84M","2,22%"
"27.03.2024","36,55","36,34","36,65","36,13","19,25M","0,80%"
"26.03.2024","36,26","36,65","36,67","36,18","24,73M","-0,93%"
"25.03.2024","36,60","36,20","36,82","36,18","26,80M","1,44%"
"23.03.2024","36,08","36,08","36,08","36,08","","0,08%"
"22.03.2024","36,05","35,93","36,20","35,46","34,33M","0,98%"
"21.03.2024","35,70","36,85","37,04","35,69","46,90M","-2,72%"
"20.03.2024","36,70","36,23","36,74","35,81","38,80M","1,75%"
"19.03.2024","36,07","36,39","36,85","35,56","48,35M","-0,74%"
"18.03.2024","36,34","36,41","36,72","35,50","35,15M","0,06%"
"15.03.2024","36,32","36,30","36,45","35,94","58,76M","0,28%"
"14.03.2024","36,22","36,74","36,92","36,15","39,70M","-0,44%"
"13.03.2024","36,38","36,90","37,33","36,31","44,74M","-1,19%"
"12.03.2024","36,82","36,35","37,23","36,16","75,94M","3,28%"
"11.03.2024","35,65","35,67","37,74","35,30","126,41M","-1,30%"
"08.03.2024","36,12","35,90","37,06","35,10","230,31M","-10,57%"
"07.03.2024","40,39","40,64","40,94","40,28","50,20M","-1,10%"
"06.03.2024","40,84","40,20","40,84","40,11","45,48M","2,20%"
"05.03.2024","39,96","40,10","40,37","39,61","30,29M","-0,30%"
"04.03.2024","40,08","40,27","40,75","40,02","21,99M","-0,25%"
